"","Country","Commodity","Exports.Tons","Exports.Dollars","Imports.Tons","Imports.Dollars"
"2","World total","Total","1.3181820378699997E7","","3.543118921719996E7","6104231573"
"3","World total","Ammonium Nitrate (Solid)","90650.9474","","1000478.3444","176951572"
"4","World total","Ammonium Sulfate","732942.4183000001","","309027.60040000005","42894571"
"5","World total","Anhydrous Ammonia","704067.6698000001","","8779456.843300002","2218550215"
"6","World total","Aqua Ammonia","","","26051.7582","4362843"
"7","World total","Calcium Cyanamide","","","105.82079999999999","83446"
"8","World total","Calcium Nitrate","","","131668.6327","7867851"
"9","World total","Chemical Mixtures","139402.36950000006","","194906.4814","61171756"
"10","World total","Concentrated Super","185314.2668","","9365.1408","5563200"
"11","World total","Diammonium Phosphate (DAP)","6193764.1758","","11347.076200000001","8195900"
"12","World total","Monammonium Phosphate (MAP)","3189940.458499999","","162799.78930000003","55454646"
"13","World total","Nitrogen Solutions","20681.352600000002","","3097353.8723","459449805"
"14","World total","Normal Super","1544.3223000000003","","860.8963000000001","155607"
"15","World total","Other Nitrogen Fertilizers","38125.25009999998","","284893.8442","44482762"
"16","World total","Other Phosphate Fertilizers","9426.8696","","24327.761000000006","858101"
"17","World total","Other Potassium Fertilizers","392926.9602999999","","44050.1126","13476633"
"18","World total","Phosphate Rock","74845.0677","","1890878.8062000002","63281266"
"19","World total","Phosphoric Acid, Superphosphoric","116599.0894","","5565.5127","1659868"
"20","World total","Phosphoric Acid, Wet Process","468340.8148000001","","63744.90670000001","25593429"
"21","World total","Potassium Muriate","150320.651","","1.10524655813E7","1380091267"
"22","World total","Potassium Nitrate","","","95858.2126","29067073"
"23","World total","Potassium Sulfate","79489.05759999999","","116456.89270000001","23432884"
"24","World total","Potassium-Sodium Nitrate","","","6286.4169","1752076"
"25","World total","Sodium Nitrate","2523.1647000000003","","73474.9088","16533163"
"26","World total","Sulfur","","","1806588.1297999995","69809931"
"27","World total","Urea (Solid)","590915.4725","","6243175.875600001","1393491708"
"28","Afghanistan","Total","","","",""
"29","Afghanistan","Ammonium Nitrate (Solid)","","","",""
"30","Afghanistan","Ammonium Sulfate","","","",""
"31","Afghanistan","Anhydrous Ammonia","","","",""
"32","Afghanistan","Aqua Ammonia","","","",""
"33","Afghanistan","Calcium Cyanamide","","","",""
"34","Afghanistan","Calcium Nitrate","","","",""
"35","Afghanistan","Chemical Mixtures","","","",""
"36","Afghanistan","Concentrated Super","","","",""
"37","Afghanistan","Diammonium Phosphate (DAP)","","","",""
"38","Afghanistan","Monammonium Phosphate (MAP)","","","",""
"39","Afghanistan","Nitrogen Solutions","","","",""
"40","Afghanistan","Normal Super","","","",""
"41","Afghanistan","Other Nitrogen Fertilizers","","","",""
"42","Afghanistan","Other Phosphate Fertilizers","","","",""
"43","Afghanistan","Other Potassium Fertilizers","","","",""
"44","Afghanistan","Phosphate Rock","","","",""
"45","Afghanistan","Phosphoric Acid, Superphosphoric","","","",""
"46","Afghanistan","Phosphoric Acid, Wet Process","","","",""
"47","Afghanistan","Potassium Muriate","","","",""
"48","Afghanistan","Potassium Nitrate","","","",""
"49","Afghanistan","Potassium Sulfate","","","",""
"50","Afghanistan","Potassium-Sodium Nitrate","","","",""
"51","Afghanistan","Sodium Nitrate","","","",""
"52","Afghanistan","Sulfur","","","",""
"53","Afghanistan","Urea (Solid)","","","",""
"54","Albania","Total","","","",""
"55","Albania","Ammonium Nitrate (Solid)","","","",""
"56","Albania","Ammonium Sulfate","","","",""
"57","Albania","Anhydrous Ammonia","","","",""
"58","Albania","Aqua Ammonia","","","",""
"59","Albania","Calcium Cyanamide","","","",""
"60","Albania","Calcium Nitrate","","","",""
"61","Albania","Chemical Mixtures","","","",""
"62","Albania","Concentrated Super","","","",""
"63","Albania","Diammonium Phosphate (DAP)","","","",""
"64","Albania","Monammonium Phosphate (MAP)","","","",""
"65","Albania","Nitrogen Solutions","","","",""
"66","Albania","Normal Super","","","",""
"67","Albania","Other Nitrogen Fertilizers","","","",""
"68","Albania","Other Phosphate Fertilizers","","","",""
"69","Albania","Other Potassium Fertilizers","","","",""
"70","Albania","Phosphate Rock","","","",""
"71","Albania","Phosphoric Acid, Superphosphoric","","","",""
"72","Albania","Phosphoric Acid, Wet Process","","","",""
"73","Albania","Potassium Muriate","","","",""
"74","Albania","Potassium Nitrate","","","",""
"75","Albania","Potassium Sulfate","","","",""
"76","Albania","Potassium-Sodium Nitrate","","","",""
"77","Albania","Sodium Nitrate","","","",""
"78","Albania","Sulfur","","","",""
"79","Albania","Urea (Solid)","","","",""
"80","Algeria","Total","11.023","","49418.31360000001","8489487"
"81","Algeria","Ammonium Nitrate (Solid)","","","",""
"82","Algeria","Ammonium Sulfate","","","",""
"83","Algeria","Anhydrous Ammonia","","","10526.965","2420949"
"84","Algeria","Aqua Ammonia","","","",""
"85","Algeria","Calcium Cyanamide","","","",""
"86","Algeria","Calcium Nitrate","","","",""
"87","Algeria","Chemical Mixtures","11.023","","",""
"88","Algeria","Concentrated Super","","","",""
"89","Algeria","Diammonium Phosphate (DAP)","","","",""
"90","Algeria","Monammonium Phosphate (MAP)","","","",""
"91","Algeria","Nitrogen Solutions","","","38891.348600000005","6068538"
"92","Algeria","Normal Super","","","",""
"93","Algeria","Other Nitrogen Fertilizers","","","",""
"94","Algeria","Other Phosphate Fertilizers","","","",""
"95","Algeria","Other Potassium Fertilizers","","","",""
"96","Algeria","Phosphate Rock","","","",""
"97","Algeria","Phosphoric Acid, Superphosphoric","","","",""
"98","Algeria","Phosphoric Acid, Wet Process","","","",""
"99","Algeria","Potassium Muriate","","","",""
"100","Algeria","Potassium Nitrate","","","",""
"101","Algeria","Potassium Sulfate","","","",""
"102","Algeria","Potassium-Sodium Nitrate","","","",""
"103","Algeria","Sodium Nitrate","","","",""
"104","Algeria","Sulfur","","","",""
"105","Algeria","Urea (Solid)","","","",""
"106","Andorra","Total","","","",""
"107","Andorra","Ammonium Nitrate (Solid)","","","",""
"108","Andorra","Ammonium Sulfate","","","",""
"109","Andorra","Anhydrous Ammonia","","","",""
"110","Andorra","Aqua Ammonia","","","",""
"111","Andorra","Calcium Cyanamide","","","",""
"112","Andorra","Calcium Nitrate","","","",""
"113","Andorra","Chemical Mixtures","","","",""
"114","Andorra","Concentrated Super","","","",""
"115","Andorra","Diammonium Phosphate (DAP)","","","",""
"116","Andorra","Monammonium Phosphate (MAP)","","","",""
"117","Andorra","Nitrogen Solutions","","","",""
"118","Andorra","Normal Super","","","",""
"119","Andorra","Other Nitrogen Fertilizers","","","",""
"120","Andorra","Other Phosphate Fertilizers","","","",""
"121","Andorra","Other Potassium Fertilizers","","","",""
"122","Andorra","Phosphate Rock","","","",""
"123","Andorra","Phosphoric Acid, Superphosphoric","","","",""
"124","Andorra","Phosphoric Acid, Wet Process","","","",""
"125","Andorra","Potassium Muriate","","","",""
"126","Andorra","Potassium Nitrate","","","",""
"127","Andorra","Potassium Sulfate","","","",""
"128","Andorra","Potassium-Sodium Nitrate","","","",""
"129","Andorra","Sodium Nitrate","","","",""
"130","Andorra","Sulfur","","","",""
"131","Andorra","Urea (Solid)","","","",""
"132","Angola","Total","","","",""
"133","Angola","Ammonium Nitrate (Solid)","","","",""
"134","Angola","Ammonium Sulfate","","","",""
"135","Angola","Anhydrous Ammonia","","","",""
