"","Country","Commodity","Exports.Tons","Exports.Dollars","Imports.Tons","Imports.Dollars"
"2","World total","Total","1.8372329516399965E7","","",""
"3","World total","Ammonium Nitrate (Solid)","72790.3805","","",""
"4","World total","Ammonium Sulfate","834248.1975","","",""
"5","World total","Anhydrous Ammonia","507437.1912000001","","",""
"6","World total","Aqua Ammonia","","","",""
"7","World total","Calcium Cyanamide","45.1943","","",""
"8","World total","Calcium Nitrate","","","",""
"9","World total","Chemical Mixtures","446006.01220000006","","",""
"10","World total","Concentrated Super","839775.1297000002","","",""
"11","World total","Diammonium Phosphate (DAP)","7979224.5215","","",""
"12","World total","Monammonium Phosphate (MAP)","1209603.3935000002","","",""
"13","World total","Nitrogen Solutions","30856.683899999996","","",""
"14","World total","Normal Super","20899.608","","",""
"15","World total","Other Nitrogen Fertilizers","61502.8285","","",""
"16","World total","Other Phosphate Fertilizers","38913.3946","","",""
"17","World total","Other Potassium Fertilizers","366904.96420000016","","",""
"18","World total","Phosphate Rock","3938427.5114000035","","",""
"19","World total","Phosphoric Acid, Superphosphoric","104374.58240000001","","",""
"20","World total","Phosphoric Acid, Wet Process","548290.6338000001","","",""
"21","World total","Potassium Muriate","398143.04389999993","","",""
"22","World total","Potassium Nitrate","","","",""
"23","World total","Potassium Sulfate","246012.41630000004","","",""
"24","World total","Potassium-Sodium Nitrate","","","",""
"25","World total","Sodium Nitrate","2368.8427","","",""
"26","World total","Sulfur","","","",""
"27","World total","Urea (Solid)","726504.9863","","",""
"28","Afghanistan","Total","","","",""
"29","Afghanistan","Ammonium Nitrate (Solid)","","","",""
"30","Afghanistan","Ammonium Sulfate","","","",""
"31","Afghanistan","Anhydrous Ammonia","","","",""
"32","Afghanistan","Aqua Ammonia","","","",""
"33","Afghanistan","Calcium Cyanamide","","","",""
"34","Afghanistan","Calcium Nitrate","","","",""
"35","Afghanistan","Chemical Mixtures","","","",""
"36","Afghanistan","Concentrated Super","","","",""
"37","Afghanistan","Diammonium Phosphate (DAP)","","","",""
"38","Afghanistan","Monammonium Phosphate (MAP)","","","",""
"39","Afghanistan","Nitrogen Solutions","","","",""
"40","Afghanistan","Normal Super","","","",""
"41","Afghanistan","Other Nitrogen Fertilizers","","","",""
"42","Afghanistan","Other Phosphate Fertilizers","","","",""
"43","Afghanistan","Other Potassium Fertilizers","","","",""
"44","Afghanistan","Phosphate Rock","","","",""
"45","Afghanistan","Phosphoric Acid, Superphosphoric","","","",""
"46","Afghanistan","Phosphoric Acid, Wet Process","","","",""
"47","Afghanistan","Potassium Muriate","","","",""
"48","Afghanistan","Potassium Nitrate","","","",""
"49","Afghanistan","Potassium Sulfate","","","",""
"50","Afghanistan","Potassium-Sodium Nitrate","","","",""
"51","Afghanistan","Sodium Nitrate","","","",""
"52","Afghanistan","Sulfur","","","",""
"53","Afghanistan","Urea (Solid)","","","",""
"54","Albania","Total","","","",""
"55","Albania","Ammonium Nitrate (Solid)","","","",""
"56","Albania","Ammonium Sulfate","","","",""
"57","Albania","Anhydrous Ammonia","","","",""
"58","Albania","Aqua Ammonia","","","",""
"59","Albania","Calcium Cyanamide","","","",""
"60","Albania","Calcium Nitrate","","","",""
"61","Albania","Chemical Mixtures","","","",""
"62","Albania","Concentrated Super","","","",""
"63","Albania","Diammonium Phosphate (DAP)","","","",""
"64","Albania","Monammonium Phosphate (MAP)","","","",""
"65","Albania","Nitrogen Solutions","","","",""
"66","Albania","Normal Super","","","",""
"67","Albania","Other Nitrogen Fertilizers","","","",""
"68","Albania","Other Phosphate Fertilizers","","","",""
"69","Albania","Other Potassium Fertilizers","","","",""
"70","Albania","Phosphate Rock","","","",""
"71","Albania","Phosphoric Acid, Superphosphoric","","","",""
"72","Albania","Phosphoric Acid, Wet Process","","","",""
"73","Albania","Potassium Muriate","","","",""
"74","Albania","Potassium Nitrate","","","",""
"75","Albania","Potassium Sulfate","","","",""
"76","Albania","Potassium-Sodium Nitrate","","","",""
"77","Albania","Sodium Nitrate","","","",""
"78","Albania","Sulfur","","","",""
"79","Albania","Urea (Solid)","","","",""
"80","Algeria","Total","29.7621","","",""
"81","Algeria","Ammonium Nitrate (Solid)","","","",""
"82","Algeria","Ammonium Sulfate","","","",""
"83","Algeria","Anhydrous Ammonia","","","",""
"84","Algeria","Aqua Ammonia","","","",""
"85","Algeria","Calcium Cyanamide","","","",""
"86","Algeria","Calcium Nitrate","","","",""
"87","Algeria","Chemical Mixtures","","","",""
"88","Algeria","Concentrated Super","","","",""
"89","Algeria","Diammonium Phosphate (DAP)","","","",""
"90","Algeria","Monammonium Phosphate (MAP)","","","",""
"91","Algeria","Nitrogen Solutions","","","",""
"92","Algeria","Normal Super","","","",""
"93","Algeria","Other Nitrogen Fertilizers","","","",""
"94","Algeria","Other Phosphate Fertilizers","","","",""
"95","Algeria","Other Potassium Fertilizers","","","",""
"96","Algeria","Phosphate Rock","","","",""
"97","Algeria","Phosphoric Acid, Superphosphoric","","","",""
"98","Algeria","Phosphoric Acid, Wet Process","","","",""
"99","Algeria","Potassium Muriate","","","",""
"100","Algeria","Potassium Nitrate","","","",""
"101","Algeria","Potassium Sulfate","29.7621","","",""
"102","Algeria","Potassium-Sodium Nitrate","","","",""
"103","Algeria","Sodium Nitrate","","","",""
"104","Algeria","Sulfur","","","",""
"105","Algeria","Urea (Solid)","","","",""
"106","Andorra","Total","","","",""
"107","Andorra","Ammonium Nitrate (Solid)","","","",""
"108","Andorra","Ammonium Sulfate","","","",""
"109","Andorra","Anhydrous Ammonia","","","",""
"110","Andorra","Aqua Ammonia","","","",""
"111","Andorra","Calcium Cyanamide","","","",""
"112","Andorra","Calcium Nitrate","","","",""
"113","Andorra","Chemical Mixtures","","","",""
"114","Andorra","Concentrated Super","","","",""
"115","Andorra","Diammonium Phosphate (DAP)","","","",""
"116","Andorra","Monammonium Phosphate (MAP)","","","",""
"117","Andorra","Nitrogen Solutions","","","",""
"118","Andorra","Normal Super","","","",""
"119","Andorra","Other Nitrogen Fertilizers","","","",""
"120","Andorra","Other Phosphate Fertilizers","","","",""
"121","Andorra","Other Potassium Fertilizers","","","",""
"122","Andorra","Phosphate Rock","","","",""
"123","Andorra","Phosphoric Acid, Superphosphoric","","","",""
"124","Andorra","Phosphoric Acid, Wet Process","","","",""
"125","Andorra","Potassium Muriate","","","",""
"126","Andorra","Potassium Nitrate","","","",""
"127","Andorra","Potassium Sulfate","","","",""
"128","Andorra","Potassium-Sodium Nitrate","","","",""
"129","Andorra","Sodium Nitrate","","","",""
"130","Andorra","Sulfur","","","",""
"131","Andorra","Urea (Solid)","","","",""
"132","Angola","Total","88.184","","",""
"133","Angola","Ammonium Nitrate (Solid)","","","",""
"134","Angola","Ammonium Sulfate","88.184","","",""
"135","Angola","Anhydrous Ammonia","","","",""
"136","Angola","Aqua Ammonia","","","",""
"137","Angola","Calcium Cyanamide","","","",""
"138","Angola","Calcium Nitrate","","","",""
"139","Angola","Chemical Mixtures","","","",""
"140","Angola","Concentrated Super","","","",""
"141","Angola","Diammonium Phosphate (DAP)","","","",""
"142","Angola","Monammonium Phosphate (MAP)","","","",""
"143","Angola","Nitrogen Solutions","","","",""
"144","Angola","Normal Super","","","",""
"145","Angola","Other Nitrogen Fertilizers","","","",""
"146","Angola","Other Phosphate Fertilizers","","","",""
"147","Angola","Other Potassium Fertilizers","","","",""
"148","Angola","Phosphate Rock","","","",""
"149","Angola","Phosphoric Acid, Superphosphoric","","","",""
"150","Angola","Phosphoric Acid, Wet Process","","","",""
"151","Angola","Potassium Muriate","","","",""
"152","Angola","Potassium Nitrate","","","",""
"153","Angola","Potassium Sulfate","","","",""
"154","Angola","Potassium-Sodium Nitrate","","","",""
"155","Angola","Sodium Nitrate","","","",""
"156","Angola","Sulfur","","","",""
"157","Angola","Urea (Solid)","","","",""
"158","Anguilla","Total","20.9437","","",""
"159","Anguilla","Ammonium Nitrate (Solid)","20.9437","","",""
"160","Anguilla","Ammonium Sulfate","","","",""
"161","Anguilla","Anhydrous Ammonia","","","",""
"162","Anguilla","Aqua Ammonia","","","",""
"163","Anguilla","Calcium Cyanamide","","","",""
"164","Anguilla","Calcium Nitrate","","","",""
"165","Anguilla","Chemical Mixtures","","","",""
"166","Anguilla","Concentrated Super","","","",""
"167","Anguilla","Diammonium Phosphate (DAP)","","","",""
"168","Anguilla","Monammonium Phosphate (MAP)","","","",""
"169","Anguilla","Nitrogen Solutions","","","",""
"170","Anguilla","Normal Super","","","",""
"171","Anguilla","Other Nitrogen Fertilizers","","","",""
"172","Anguilla","Other Phosphate Fertilizers","","","",""
"173","Anguilla","Other Potassium Fertilizers","","","",""
"174","Anguilla","Phosphate Rock","","","",""
"175","Anguilla","Phosphoric Acid, Superphosphoric","","","",""
"176","Anguilla","Phosphoric Acid, Wet Process","","","",""
"177","Anguilla","Potassium Muriate","","","",""
"178","Anguilla","Potassium Nitrate","","","",""
"179","Anguilla","Potassium Sulfate","","","",""
"180","Anguilla","Potassium-Sodium Nitrate","","","",""
"181","Anguilla","Sodium Nitrate","","","",""
"182","Anguilla","Sulfur","","","",""
"183","Anguilla","Urea (Solid)","","","",""
"184","Antigua & Barbuda","Total","41.8874","","",""
"185","Antigua & Barbuda","Ammonium Nitrate (Solid)","","","",""
"186","Antigua & Barbuda","Ammonium Sulfate","","","",""
"187","Antigua & Barbuda","Anhydrous Ammonia","","","",""
"188","Antigua & Barbuda","Aqua Ammonia","","","",""
"189","Antigua & Barbuda","Calcium Cyanamide","","","",""
"190","Antigua & Barbuda","Calcium Nitrate","","","",""
"191","Antigua & Barbuda","Chemical Mixtures","","","",""
"192","Antigua & Barbuda","Concentrated Super","","","",""
"193","Antigua & Barbuda","Diammonium Phosphate (DAP)","","","",""
"194","Antigua & Barbuda","Monammonium Phosphate (MAP)","","","",""
"195","Antigua & Barbuda","Nitrogen Solutions","","","",""
"196","Antigua & Barbuda","Normal Super","","","",""
"197","Antigua & Barbuda","Other Nitrogen Fertilizers","41.8874","","",""
"198","Antigua & Barbuda","Other Phosphate Fertilizers","","","",""
"199","Antigua & Barbuda","Other Potassium Fertilizers","","","",""
"200","Antigua & Barbuda","Phosphate Rock","","","",""
"201","Antigua & Barbuda","Phosphoric Acid, Superphosphoric","","","",""
"202","Antigua & Barbuda","Phosphoric Acid, Wet Process","","","",""
"203","Antigua & Barbuda","Potassium Muriate","","","",""
"204","Antigua & Barbuda","Potassium Nitrate","","","",""
"205","Antigua & Barbuda","Potassium Sulfate","","","",""
"206","Antigua & Barbuda","Potassium-Sodium Nitrate","","","",""
"207","Antigua & Barbuda","Sodium Nitrate","","","",""
"208","Antigua & Barbuda","Sulfur","","","",""
"209","Antigua & Barbuda","Urea (Solid)","","","",""
"210","Argentina","Total","241361.8126","","",""
"211","Argentina","Ammonium Nitrate (Solid)","","","",""
"212","Argentina","Ammonium Sulfate","11019.6931","","",""
"213","Argentina","Anhydrous Ammonia","","","",""
"214","Argentina","Aqua Ammonia","","","",""
"215","Argentina","Calcium Cyanamide","","","",""
"216","Argentina","Calcium Nitrate","","","",""
"217","Argentina","Chemical Mixtures","105.8208","","",""
"218","Argentina","Concentrated Super","14965.927099999999","","",""
"219","Argentina","Diammonium Phosphate (DAP)","209479.9897","","",""
"220","Argentina","Monammonium Phosphate (MAP)","2753.5454","","",""
"221","Argentina","Nitrogen Solutions","","","",""
"222","Argentina","Normal Super","","","",""
"223","Argentina","Other Nitrogen Fertilizers","81.5702","","",""
"224","Argentina","Other Phosphate Fertilizers","2.2046","","",""
"225","Argentina","Other Potassium Fertilizers","2817.4788000000003","","",""
"226","Argentina","Phosphate Rock","","","",""
"227","Argentina","Phosphoric Acid, Superphosphoric","39.6828","","",""
"228","Argentina","Phosphoric Acid, Wet Process","","","",""
"229","Argentina","Potassium Muriate","93.6955","","",""
"230","Argentina","Potassium Nitrate","","","",""
