"","Country","Commodity","Exports.Tons","Exports.Dollars","Imports.Tons","Imports.Dollars"
"2","World total","Total","1.0571376667000003E7","3699638600","3.5263296801899984E7","9461057401"
"3","World total","Ammonium Nitrate (Solid)","350244.80199999997","95262549","605142.8586","129964628"
"4","World total","Ammonium Sulfate","1033736.9400000002","186370823","393458.2689","63740043"
"5","World total","Anhydrous Ammonia","47876.1959","18113120","7432059.335999998","2482422048"
"6","World total","Aqua Ammonia","6177.289200000001","2767767","99967.58700000001","13643064"
"7","World total","Calcium Cyanamide","","","",""
"8","World total","Calcium Nitrate","","","38019.4293","3126504"
"9","World total","Chemical Mixtures","237918.22740000047","139426414","136086.65109999984","64483645"
"10","World total","Concentrated Super","984.3538999999998","611213","208365.5644","61976159"
"11","World total","Diammonium Phosphate (DAP)","4506234.3667","1711875683","239256.41960000002","113135204"
"12","World total","Monammonium Phosphate (MAP)","2567585.1854000012","1001234897","296945.2901000002","142417453"
"13","World total","Nitrogen Solutions","292713.5604","41370783","2717930.087","492006370"
"14","World total","Normal Super","3547.2014000000004","2367665","4801.618799999999","1317811"
"15","World total","Other Nitrogen Fertilizers","22747.062799999996","9443228","426054.3822","51103633"
"16","World total","Other Phosphate Fertilizers","","","",""
"17","World total","Other Potassium Fertilizers","","","",""
"18","World total","Phosphate Rock","141840.65710000004","3722155","2075041.1695","141149972"
"19","World total","Phosphoric Acid, Superphosphoric","69548.5162","42320456","4656.1152","1739017"
"20","World total","Phosphoric Acid, Wet Process","742002.222","235495658","34672.8465","18554756"
"21","World total","Potassium Muriate","272963.6513","102024522","1.1170510888300002E7","3335088654"
"22","World total","Potassium Nitrate","11013.0793","9066088","84711.755","44870632"
"23","World total","Potassium Sulfate","94160.6706","41280765","107424.6465","41499522"
"24","World total","Potassium-Sodium Nitrate","","","389.1119000000001","245145"
"25","World total","Sodium Nitrate","2677.4867","1521578","77334.0611","20574064"
"26","World total","Sulfur","","","2086564.613699999","211208388"
"27","World total","Urea (Solid)","167405.19869999998","55363236","7023904.101200001","2026790689"
"28","Afghanistan","Total","1.1023","4952","",""
"29","Afghanistan","Ammonium Nitrate (Solid)","","","",""
"30","Afghanistan","Ammonium Sulfate","","","",""
"31","Afghanistan","Anhydrous Ammonia","","","",""
"32","Afghanistan","Aqua Ammonia","","","",""
"33","Afghanistan","Calcium Cyanamide","","","",""
"34","Afghanistan","Calcium Nitrate","","","",""
"35","Afghanistan","Chemical Mixtures","","","",""
"36","Afghanistan","Concentrated Super","","","",""
