"","Country","Commodity","Exports.Tons","Exports.Dollars","Imports.Tons","Imports.Dollars"
"2","World total","Total","1.3556679539699994E7","","3.212273717880001E7","4382482411"
"3","World total","Ammonium Nitrate (Solid)","121223.23790000001","","1163983.6057","172521125"
"4","World total","Ammonium Sulfate","791052.3674000001","","359140.363","34559173"
"5","World total","Anhydrous Ammonia","510724.24980000005","","7944180.1999","1684181351"
"6","World total","Aqua Ammonia","","","19200.963699999997","2920490"
"7","World total","Calcium Cyanamide","170.8565","","167.5496","92536"
"8","World total","Calcium Nitrate","","","139439.8477","7649190"
"9","World total","Chemical Mixtures","180621.77570000014","","178646.45410000026","55926452"
"10","World total","Concentrated Super","350350.6228","","68682.10840000001","9659441"
"11","World total","Diammonium Phosphate (DAP)","5829999.664300001","","33750.2214","11439171"
"12","World total","Monammonium Phosphate (MAP)","3772029.8148999996","","177409.6735","46679880"
"13","World total","Nitrogen Solutions","36672.41870000001","","2231946.9607","280668004"
"14","World total","Normal Super","13942.992700000003","","110.22999999999999","80184"
"15","World total","Other Nitrogen Fertilizers","45323.26910000002","","276603.4459","35171681"
"16","World total","Other Phosphate Fertilizers","17764.6668","","6117.765","377182"
"17","World total","Other Potassium Fertilizers","423027.4664000001","","86557.0052","15980216"
"18","World total","Phosphate Rock","77307.60589999995","","1630668.7658999998","49817905"
"19","World total","Phosphoric Acid, Superphosphoric","154892.99140000003","","10052.976","2932544"
"20","World total","Phosphoric Acid, Wet Process","174528.2613","","78759.33499999999","21531426"
"21","World total","Potassium Muriate","202597.2285","","1.04346352497E7","891880491"
"22","World total","Potassium Nitrate","","","73172.8786","19094062"
"23","World total","Potassium Sulfate","75073.2438","","117690.36639999998","21166427"
"24","World total","Potassium-Sodium Nitrate","","","46186.37","11807013"
"25","World total","Sodium Nitrate","3128.3274000000006","","69328.05619999999","13136212"
"26","World total","Sulfur","","","1551227.1072","75777345"
"27","World total","Urea (Solid)","776248.4784","","5425079.680000001","917432910"
"28","Afghanistan","Total","","","",""
"29","Afghanistan","Ammonium Nitrate (Solid)","","","",""
"30","Afghanistan","Ammonium Sulfate","","","",""
"31","Afghanistan","Anhydrous Ammonia","","","",""
"32","Afghanistan","Aqua Ammonia","","","",""
"33","Afghanistan","Calcium Cyanamide","","","",""
"34","Afghanistan","Calcium Nitrate","","","",""
"35","Afghanistan","Chemical Mixtures","","","",""
"36","Afghanistan","Concentrated Super","","","",""
"37","Afghanistan","Diammonium Phosphate (DAP)","","","",""
"38","Afghanistan","Monammonium Phosphate (MAP)","","","",""
"39","Afghanistan","Nitrogen Solutions","","","",""
"40","Afghanistan","Normal Super","","","",""
"41","Afghanistan","Other Nitrogen Fertilizers","","","",""
"42","Afghanistan","Other Phosphate Fertilizers","","","",""
"43","Afghanistan","Other Potassium Fertilizers","","","",""
"44","Afghanistan","Phosphate Rock","","","",""
"45","Afghanistan","Phosphoric Acid, Superphosphoric","","","",""
"46","Afghanistan","Phosphoric Acid, Wet Process","","","",""
"47","Afghanistan","Potassium Muriate","","","",""
"48","Afghanistan","Potassium Nitrate","","","",""
"49","Afghanistan","Potassium Sulfate","","","",""
"50","Afghanistan","Potassium-Sodium Nitrate","","","",""
"51","Afghanistan","Sodium Nitrate","","","",""
"52","Afghanistan","Sulfur","","","",""
"53","Afghanistan","Urea (Solid)","","","",""
"54","Albania","Total","","","",""
"55","Albania","Ammonium Nitrate (Solid)","","","",""
"56","Albania","Ammonium Sulfate","","","",""
"57","Albania","Anhydrous Ammonia","","","",""
"58","Albania","Aqua Ammonia","","","",""
"59","Albania","Calcium Cyanamide","","","",""
"60","Albania","Calcium Nitrate","","","",""
"61","Albania","Chemical Mixtures","","","",""
"62","Albania","Concentrated Super","","","",""
"63","Albania","Diammonium Phosphate (DAP)","","","",""
"64","Albania","Monammonium Phosphate (MAP)","","","",""
"65","Albania","Nitrogen Solutions","","","",""
